product_name,price,reviews,rating,image_link,product_link
"Samsung Galaxy A17 5G Smart Phone, 128GB, Large AMOLED, High-Res Camera, Durable Design, Super Fast Charging, Expandable Storage, Circle to Search, 2025, US 1 Yr Manufacturer Warranty, Black",,386,4.1,https://m.media-amazon.com/images/I/71Ss7HzbhUL._AC_UY218_.jpg,https://www.amazon.com/Samsung-High-Res-Charging-Expandable-Manufacturer/dp/B0FXY18C1J/ref=sr_1_1?crid=3O6ORTN1U378Z&dib=eyJ2IjoiMSJ9.5CouDaauJXS3qG3UMV7D_IVzn6HzMNwHccowksiMeRoC3UAUkryRIdkQV1VCTmePtgMf1535TUr7YBGeqI6Jc2nNusbweTIw8ePanw47WNhB7RZ495HmxOY0ELlFUxngE1PgIIwWXSj-DCl5WxHu8h_WAjWRrHRmPa56pCVr4-IWAN5TjNPdHI3FRMJkHQXkh9tNJbOwwiVvmTKC5Qn8xv3VUh6HzWU_5eEjsMQ5-X8.h6_7zpHvbtvKdVuMhu3HdtRF17oX1K5s96FQvfw-sww&dib_tag=se&keywords=mobile+phones&qid=1777089580&sprefix=mobile%2Caps%2C435&sr=8-1
"Samsung Galaxy S26, Unlocked Android Smartphone, 256GB, Powerful Processor, Galaxy AI, Immersive Viewing, Durable Battery, 2026, US 1 Year Warranty, Black",,595,"Options:
2 sizes",https://m.media-amazon.com/images/I/61q1dJxGowL._AC_UY218_.jpg,https://www.amazon.com/Samsung-Unlocked-Smartphone-Processor-Immersive/dp/B0G4SW96R4/ref=sr_1_2?crid=3O6ORTN1U378Z&dib=eyJ2IjoiMSJ9.5CouDaauJXS3qG3UMV7D_IVzn6HzMNwHccowksiMeRoC3UAUkryRIdkQV1VCTmePtgMf1535TUr7YBGeqI6Jc2nNusbweTIw8ePanw47WNhB7RZ495HmxOY0ELlFUxngE1PgIIwWXSj-DCl5WxHu8h_WAjWRrHRmPa56pCVr4-IWAN5TjNPdHI3FRMJkHQXkh9tNJbOwwiVvmTKC5Qn8xv3VUh6HzWU_5eEjsMQ5-X8.h6_7zpHvbtvKdVuMhu3HdtRF17oX1K5s96FQvfw-sww&dib_tag=se&keywords=mobile+phones&qid=1777089580&sprefix=mobile%2Caps%2C435&sr=8-2
"Samsung Galaxy A16 4G LTE (128GB + 4GB) International Model SM-A165F/DS Factory Unlocked, 6.7"", Dual SIM, 50MP Triple Camera (Case Bundle), Black",,4K,4.4,https://m.media-amazon.com/images/I/61Lp1UcxeLL._AC_UY218_.jpg,https://www.amazon.com/Samsung-International-SM-A165F-Factory-Unlocked/dp/B0DM1S54MZ/ref=sr_1_3?crid=3O6ORTN1U378Z&dib=eyJ2IjoiMSJ9.5CouDaauJXS3qG3UMV7D_IVzn6HzMNwHccowksiMeRoC3UAUkryRIdkQV1VCTmePtgMf1535TUr7YBGeqI6Jc2nNusbweTIw8ePanw47WNhB7RZ495HmxOY0ELlFUxngE1PgIIwWXSj-DCl5WxHu8h_WAjWRrHRmPa56pCVr4-IWAN5TjNPdHI3FRMJkHQXkh9tNJbOwwiVvmTKC5Qn8xv3VUh6HzWU_5eEjsMQ5-X8.h6_7zpHvbtvKdVuMhu3HdtRF17oX1K5s96FQvfw-sww&dib_tag=se&keywords=mobile+phones&qid=1777089580&sprefix=mobile%2Caps%2C435&sr=8-3
"Samsung Galaxy A17 5G Smart Phone, 128GB, Large AMOLED, High-Res Camera, Durable Design, Super Fast Charging, Expandable Storage, Circle to Search, 2025, US 1 Yr Manufacturer Warranty, Blue",,386,4.1,https://m.media-amazon.com/images/I/710u7UnAyWL._AC_UY218_.jpg,https://www.amazon.com/Samsung-High-Res-Charging-Expandable-Manufacturer/dp/B0FXY1DZ78/ref=sr_1_4?crid=3O6ORTN1U378Z&dib=eyJ2IjoiMSJ9.5CouDaauJXS3qG3UMV7D_IVzn6HzMNwHccowksiMeRoC3UAUkryRIdkQV1VCTmePtgMf1535TUr7YBGeqI6Jc2nNusbweTIw8ePanw47WNhB7RZ495HmxOY0ELlFUxngE1PgIIwWXSj-DCl5WxHu8h_WAjWRrHRmPa56pCVr4-IWAN5TjNPdHI3FRMJkHQXkh9tNJbOwwiVvmTKC5Qn8xv3VUh6HzWU_5eEjsMQ5-X8.h6_7zpHvbtvKdVuMhu3HdtRF17oX1K5s96FQvfw-sww&dib_tag=se&keywords=mobile+phones&qid=1777089580&sprefix=mobile%2Caps%2C435&sr=8-4
Moto G Power 5G | 2024 | Unlocked | Made for US 8/128GB | 50MP Camera | Midnight Blue,,2.9K,4.3,https://m.media-amazon.com/images/I/61c9OZyq2yL._AC_UY218_.jpg,https://www.amazon.com/Power-Unlocked-128GB-Camera-Midnight/dp/B0CT6BQV81/ref=sr_1_5?crid=3O6ORTN1U378Z&dib=eyJ2IjoiMSJ9.5CouDaauJXS3qG3UMV7D_IVzn6HzMNwHccowksiMeRoC3UAUkryRIdkQV1VCTmePtgMf1535TUr7YBGeqI6Jc2nNusbweTIw8ePanw47WNhB7RZ495HmxOY0ELlFUxngE1PgIIwWXSj-DCl5WxHu8h_WAjWRrHRmPa56pCVr4-IWAN5TjNPdHI3FRMJkHQXkh9tNJbOwwiVvmTKC5Qn8xv3VUh6HzWU_5eEjsMQ5-X8.h6_7zpHvbtvKdVuMhu3HdtRF17oX1K5s96FQvfw-sww&dib_tag=se&keywords=mobile+phones&qid=1777089580&sprefix=mobile%2Caps%2C435&sr=8-5
Moto G - 2025 | Unlocked | Made for US 4/128GB | 50MP Camera | Forest Gray,,1K,4.3,https://m.media-amazon.com/images/I/8160OiLlJEL._AC_UY218_.jpg,https://www.amazon.com/Moto-Unlocked-128GB-Camera-Forest/dp/B0DNRK51QQ/ref=sr_1_6?crid=3O6ORTN1U378Z&dib=eyJ2IjoiMSJ9.5CouDaauJXS3qG3UMV7D_IVzn6HzMNwHccowksiMeRoC3UAUkryRIdkQV1VCTmePtgMf1535TUr7YBGeqI6Jc2nNusbweTIw8ePanw47WNhB7RZ495HmxOY0ELlFUxngE1PgIIwWXSj-DCl5WxHu8h_WAjWRrHRmPa56pCVr4-IWAN5TjNPdHI3FRMJkHQXkh9tNJbOwwiVvmTKC5Qn8xv3VUh6HzWU_5eEjsMQ5-X8.h6_7zpHvbtvKdVuMhu3HdtRF17oX1K5s96FQvfw-sww&dib_tag=se&keywords=mobile+phones&qid=1777089580&sprefix=mobile%2Caps%2C435&sr=8-6
"Fadnou I25 Ultra Unlocked Cell Phone, Built in Pen, Smartphone Battery 7000mAh, 6.99"" HD Screen Unlocked Phones, 16+512GB 5G The Phone Android 14, Face ID/Fingerprint Lock/GPS (Green)",,13,4.5,https://m.media-amazon.com/images/I/71xyPOoFSIL._AC_UY218_.jpg,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTozODIxMTAzMzI0MTEwNzAxOjE3NzcwODk1ODA6c3BfbXRmOjMwMDY5NzIyMjEwMDUwMjo6MDo6&url=%2FFadnou-I25-Ultra-Smartphone-Fingerprint%2Fdp%2FB0FXVLZT73%2Fref%3Dsr_1_7_sspa%3Fcrid%3D3O6ORTN1U378Z%26dib%3DeyJ2IjoiMSJ9.5CouDaauJXS3qG3UMV7D_IVzn6HzMNwHccowksiMeRoC3UAUkryRIdkQV1VCTmePtgMf1535TUr7YBGeqI6Jc2nNusbweTIw8ePanw47WNhB7RZ495HmxOY0ELlFUxngE1PgIIwWXSj-DCl5WxHu8h_WAjWRrHRmPa56pCVr4-IWAN5TjNPdHI3FRMJkHQXkh9tNJbOwwiVvmTKC5Qn8xv3VUh6HzWU_5eEjsMQ5-X8.h6_7zpHvbtvKdVuMhu3HdtRF17oX1K5s96FQvfw-sww%26dib_tag%3Dse%26keywords%3Dmobile%2Bphones%26qid%3D1777089580%26sprefix%3Dmobile%252Caps%252C435%26sr%3D8-7-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"Samsung Galaxy S25 FE Cell Phone (2025), 128GB AI Smartphone, Unlocked Android, Large Display, 4900mAh Battery, High Res-Camera, AI Photo Edits, Durable, US 1 Yr Warranty, Icyblue",,803,4.6,https://m.media-amazon.com/images/I/615s80NZp3L._AC_UY218_.jpg,https://www.amazon.com/Samsung-Smartphone-Unlocked-Res-Camera-Warranty/dp/B0FG1XRKD9/ref=sr_1_8?crid=3O6ORTN1U378Z&dib=eyJ2IjoiMSJ9.5CouDaauJXS3qG3UMV7D_IVzn6HzMNwHccowksiMeRoC3UAUkryRIdkQV1VCTmePtgMf1535TUr7YBGeqI6Jc2nNusbweTIw8ePanw47WNhB7RZ495HmxOY0ELlFUxngE1PgIIwWXSj-DCl5WxHu8h_WAjWRrHRmPa56pCVr4-IWAN5TjNPdHI3FRMJkHQXkh9tNJbOwwiVvmTKC5Qn8xv3VUh6HzWU_5eEjsMQ5-X8.h6_7zpHvbtvKdVuMhu3HdtRF17oX1K5s96FQvfw-sww&dib_tag=se&keywords=mobile+phones&qid=1777089580&sprefix=mobile%2Caps%2C435&sr=8-8
Motorola Moto G Stylus 5G | 2024 | Unlocked | Made for US 8/128GB | 50MP Camera | Caramel Latte,,2.8K,4.5,https://m.media-amazon.com/images/I/61LE9-6KxdL._AC_UY218_.jpg,https://www.amazon.com/Motorola-Stylus-Unlocked-Camera-Caramel/dp/B0FNS5XW5W/ref=sr_1_9?crid=3O6ORTN1U378Z&dib=eyJ2IjoiMSJ9.5CouDaauJXS3qG3UMV7D_IVzn6HzMNwHccowksiMeRoC3UAUkryRIdkQV1VCTmePtgMf1535TUr7YBGeqI6Jc2nNusbweTIw8ePanw47WNhB7RZ495HmxOY0ELlFUxngE1PgIIwWXSj-DCl5WxHu8h_WAjWRrHRmPa56pCVr4-IWAN5TjNPdHI3FRMJkHQXkh9tNJbOwwiVvmTKC5Qn8xv3VUh6HzWU_5eEjsMQ5-X8.h6_7zpHvbtvKdVuMhu3HdtRF17oX1K5s96FQvfw-sww&dib_tag=se&keywords=mobile+phones&qid=1777089580&sprefix=mobile%2Caps%2C435&sr=8-9
"Samsung Galaxy Z Fold7 Cell Phone, 512GB AI Smartphone, Unlocked Android, AI Photo Edits, Large Screen, Long Battery Life, 2025, US 1 Yr Manufacturer Warranty, JetBlack",,524,"Options:
2 sizes",https://m.media-amazon.com/images/I/41yEZrL-vjL._AC_UY218_.jpg,https://www.amazon.com/Samsung-Smartphone-Unlocked-Manufacturer-Warranty/dp/B0F7K9LFCL/ref=sr_1_10?crid=3O6ORTN1U378Z&dib=eyJ2IjoiMSJ9.5CouDaauJXS3qG3UMV7D_IVzn6HzMNwHccowksiMeRoC3UAUkryRIdkQV1VCTmePtgMf1535TUr7YBGeqI6Jc2nNusbweTIw8ePanw47WNhB7RZ495HmxOY0ELlFUxngE1PgIIwWXSj-DCl5WxHu8h_WAjWRrHRmPa56pCVr4-IWAN5TjNPdHI3FRMJkHQXkh9tNJbOwwiVvmTKC5Qn8xv3VUh6HzWU_5eEjsMQ5-X8.h6_7zpHvbtvKdVuMhu3HdtRF17oX1K5s96FQvfw-sww&dib_tag=se&keywords=mobile+phones&qid=1777089580&sprefix=mobile%2Caps%2C435&sr=8-10
