Product_Name,Product_Price,Product_Sold
Infinix Smart 10 4GB+64GB - PTA APPROVED,29000,682
Samsung Galaxy A07 4GB+64GB - PTA APPROVED,34999,43000
Redmi Note 14 8GB RAM + 256 GB ROM Non Scanned - Non Active - PTA APPROVED,59999,847
Tecno Spark GO 3 4/64,27198,634
"Xiaomi 15T Pro 12GB RAM 512GB ROM 6.83"" 144Hz eye-care display Long-lasting 5500mAh (typ) battery PTA Approved Official One Year Brand Warranty",250299,
Tecno SPARK 40 6GB+128GB PTA APPROVED,39747,28000
Tecno SPARK 40 Pro Plus 8GB+256GB PTA APPROVED,61367,906
Moto Stylus 2024 5G - 6.7 Inches Full FHD+ Display - 8GB RAM 128GB ROM - PTA Approved Dual Sim (Physical + E-sim) - Snapdragon 6 Gen 1 - In-Screen Fingerprint Sensor - Mix Color (Phone Only - Box Charger Accessoires Not Included),39999,
Infinix Hot 60i 6GB+128GB PTA APPROVED,41999,352
"Vivo Y66 | Dual Sim | PTA Approve | 4GB Ram 64GB Storage | Long Lasting 3000 MAH Battery | Memory Card Suppirt | Vivo Box , Charger Sim Injector Tool & Phone | Vivo Mobile | Mobile Phone On Easy Installment | Whatsapp , Youtube Facebook & Tiktok Working",17395,9
Samsung Galaxy A07 4GB+128GB - PTA APPROVED,31498,26000
"Vivo Y20s | 8GB Ram 128GB Storage | 5000 MAH Battery + 18w Fast Charging | PTA Approve | Side FingerPrint | 6.51"" HD+ Halo Big Display | 13MP AI Triple Camera | Phone, Box, Charger | Mobile Phone On Installment",28105,
Redmi A5 4 GB RAM ROM 64 Non Scanned - Non Active - PTA APPROVED,27997,39000
Tecno Spark GO 3 4/128,31997,397
Tecno Camon 40 Pro - 8GB RAM 256GB ROM 6.78'' Amoled Display 5200mAh Battery 45w Super Charge PTA Approved 1 Year Official Brand Warranty,79980,
"Schok Volt SV55 | 2GB Ram 16GB Storage | Andriod Version 11 | Type-C Cable | Non PTA Approve | 3000 MAH Long Lasting Battery | Youtube, Tiktok, FaceBook Working | Amrican Phone | Orginial Stock",5959,
Samsung Galaxy A17 - 8GB RAM 256GB ROM 6.7'' AMOLED Display 500mAh Battery PTA Approved 1 Year Official Brand Warranty,68980,8
Google Pixel 8 Pro | 12GB RAM | 256GB & 128GB storage | dual sim approved | 5050 mAh battery | OLED display | 2023 model new phone without box | Al-Aswad Tech,119999,22
Samsung Galaxy A07 6GB+128GB PTA APPROVED,49500,23000
Redmi 15C 6GB +128GB - PTA APPROVED,39997,15000
Infinix Note 60 8GB RAM 256GB ROM Front Camera 13MP Back Camera 50MP 6500mAh Battery One Year Brand Warrenty,93499,
Infinix Note 60 Pro - 8Gb Ram / 256Gb Storage -With Wireless MagSafe PowerBank - Official PTA Approved With 1 Year Official Brand Warranty,119999,
Tecno Spark 40 Pro Plus - 8GB RAM 256GB ROM 6.78'' Amoled Display 5200mAh Battery 45w Super Charge PTA Approved 1 Year Official Brand Warranty,68980,
Nothing Phone CMF Phone 2 Pro 8/128GB - PTA Approved - Nothing Phone,97499,
Tecno Camon 40 PRO || 16GB (8GB + 8GB EXTENDED) RAM + 256GB ROM || 5200mAh Battery,72499,
"Xiaomi 15T 12GB RAM 512GB ROM 6.83"" 120Hz eye-care display¹ Long-lasting 5500mAh (typ) battery PTA Approved Official One Year Brand Warranty",181898,
Nothing Phone 3A 12/256GB - PTA Approved- Free CMF Buds 2 Nothing Phone,148499,
Nothing Phone 3A Pro 12/256GB - PTA Approved - Free CMF Watch Pro - Nothing Phone,173899,
Redmi 15C 4GB +128GB - PTA APPROVED,37997,375
Samsung Galaxy A56 12/256GB - PTA APPROVED,123498,377
Motorola | Moto G Stylus 5G 2023 | 128GB Storage | 4GB RAM | Qualcomm SM6450 Snapdragon 6 Gen 1 | 5000 mAh Battery | 50MP Camera | Non PTA Approved | SIM Lock | Mobile Phone,21000,
Google Pixel 6a | 6GB ram | 128GB storage | dual sim approved | 4410mAh battery | original phone without box,48999,46
Samsung Galaxy Z Fold 3 12GB RAM 256 GB ROM || FOLDABLE MOBILE PHONE || ONE YEAR BRAND WARRANTY,300000,
Samsung Galaxy S26 Ultra 12GB RAM 256GB/512GB ROM 200.0 MP + 50.0 MP + 50.0 MP + 10.0 MP Back Camera 5000 mAh Battery ONE YEAR BRAND WARRANTY,539000,
Nothing CMF Phone 2 Pro - 6.67 Inches Display - 8GB RAM 128GB ROM - 16MP Front Camera - 50MP+50MP+8MP Rear Camera - Dual SIM - 5000mAh Battery - PTA APPROVED,103799,
Samsung Galaxy A56 8/256GB - PTA APPROVED,113498,295
Vivo V60 5G - 12GB RAM 512GB ROM 6.77'' AMOLED Display 6500mAh Battery 90w FlashCharge PTA Approved 1 Year Official Brand Warranty,155980,
Tecno Camon 40 PRO || 16GB (8GB + 8GB EXTENDED) RAM + 256GB ROM || 5200mAh Battery,73499,
Xiaomi POCO C85,47997,17
Nothing Phone 3A Lite 8GB/256GB - PTA Approved - Nothing Phone,103399,
